,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
16,16,Turnout Fire,2021-04-18T17:46:54Z,Mendocino,200.0,0.0,0.0,7.73,69.35,22.92,0.0,20210420.0,Mendocino County
17,17,River Fire,2021-04-19T20:29:35Z,Sutter,80.0,0.0,0.0,0.0,0.0,100.0,0.0,20210420.0,Sutter County
18,18,Wolves Fire,2021-04-23T00:34:19Z,Kern,50.0,0.0,0.0,0.0,24.78,75.22,0.0,20210427.0,Kern County
19,19,Luis Fire,2021-04-24T14:50:00Z,Merced,93.0,0.0,0.0,14.47,85.53,0.0,0.0,20210427.0,Merced County
20,20,North Fire,2021-04-28T23:04:57Z,Los Angeles,650.0,0.0,0.0,3.25,8.55,88.2,0.0,20210427.0,Los Angeles County
21,21,Sky Fire,2021-04-29T12:44:00Z,Lake,65.0,0.0,0.0,0.0,0.0,100.0,0.0,20210427.0,Lake County
22,22,Campo Fire,2021-04-29T23:18:41Z,Calaveras,160.0,0.0,0.0,0.0,100.0,0.0,0.0,20210427.0,Calaveras County
23,23,Salmon Fire,2021-05-01T21:02:48Z,El Dorado,32.0,0.0,0.0,0.0,17.59,82.41,0.0,20210504.0,El Dorado County
24,24,Southern Fire,2021-05-02T00:56:04Z,San Diego,5366.0,0.0,86.92,12.98,0.1,0.0,0.0,20210504.0,San Diego County
25,25,Creek Fire,2021-05-04T13:28:00Z,Riverside,32.0,0.0,0.0,6.04,53.38,38.08,2.5,20210504.0,Riverside County
26,26,Bridge Fire,2021-05-05T23:30:06Z,Riverside,226.0,0.0,0.0,6.04,53.38,38.08,2.5,20210504.0,Riverside County
27,27,Gunnison Fire,2021-05-08T13:44:53Z,Butte,549.0,0.0,0.0,0.0,0.0,100.0,0.0,20210511.0,Butte County
28,28,Granite Fire,2021-05-08T15:02:45Z,Calaveras,118.0,0.0,0.0,0.0,0.0,100.0,0.0,20210511.0,Calaveras County
29,29,Dillard Fire,2021-05-08T17:29:49Z,Sacramento,44.0,0.0,0.0,0.0,0.0,100.0,0.0,20210511.0,Sacramento County
30,30,Quail Fire,2021-05-12T20:48:43Z,Yuba,35.0,0.0,0.0,0.0,0.0,100.0,0.0,20210511.0,Yuba County
31,31,Pine Fire,2021-05-12T22:46:39Z,Los Angeles,442.0,0.0,0.0,3.25,8.55,88.2,0.0,20210511.0,Los Angeles County
32,32,Fields Fire,2021-05-14T14:00:00Z,Merced,97.0,0.0,0.0,0.0,15.09,84.91,0.0,20210518.0,Merced County
33,33,R-1 Fire,2021-05-14T13:03:00Z,Lassen,29.0,0.0,0.0,0.0,0.0,100.0,0.0,20210518.0,Lassen County
34,34,Palisades Fire,2021-05-14T21:50:41Z,Los Angeles,1202.0,0.0,0.0,3.25,8.55,88.2,0.0,20210518.0,Los Angeles County
35,35,Davis Fire,2021-05-18T13:30:00Z,Riverside,300.0,0.0,0.0,0.0,59.42,38.08,2.5,20210518.0,Riverside County
36,36,Parkside Fire,2021-05-19T15:54:00Z,Riverside,17.0,0.0,0.0,0.0,59.42,38.08,2.5,20210518.0,Riverside County
37,37,Settlers Fire,2021-05-19T14:56:00Z,El Dorado,45.0,0.0,0.0,0.0,17.59,82.41,0.0,20210518.0,El Dorado County
38,38,WeeVill Fire,2021-05-20T09:27:00Z,Los Angeles,300.0,0.0,0.0,3.25,8.55,88.2,0.0,20210518.0,Los Angeles County
39,39,Bluff Fire,2021-05-21T06:55:59Z,Humboldt,25.0,0.0,0.0,14.27,85.73,0.0,0.0,20210525.0,Humboldt County
40,40,Tomki Fire,2021-05-21T15:36:15Z,Mendocino,18.0,0.0,0.0,0.0,21.56,59.51,18.92,20210525.0,Mendocino County
41,41,Lake Fire,2021-05-24T13:30:26Z,Riverside,115.0,0.0,0.0,0.0,59.49,38.01,2.5,20210525.0,Riverside County
42,42,Live Oak Fire,2021-05-27T14:36:00Z,Mariposa,197.0,0.0,0.0,0.0,0.0,100.0,0.0,20210525.0,Mariposa County
43,43,Mile Fire,2021-05-27T18:44:00Z,Stanislaus,508.0,0.0,0.0,0.0,0.0,99.79,0.21,20210525.0,Stanislaus County
44,44,Sargents Fire,2021-05-30T15:10:29Z,Monterey,1100.0,0.0,0.0,0.0,85.18,14.82,0.0,20210601.0,Monterey County
45,45,Slope Fire,2021-05-31T16:24:20Z,Fresno,25.0,0.0,0.0,0.0,24.98,58.22,16.8,20210601.0,Fresno County
46,46,Smalley Fire,2021-05-31T19:12:45Z,Madera,45.0,0.0,0.0,0.0,0.0,100.0,0.0,20210601.0,Madera County
47,47,Scott Fire,2021-06-01T13:06:00Z,Riverside,28.0,0.0,0.0,0.0,59.49,38.01,2.5,20210601.0,Riverside County
48,48,Coyote Fire,2021-06-02T18:30:00Z,Riverside,43.0,0.0,0.0,0.0,59.49,38.01,2.5,20210601.0,Riverside County
49,49,Buck Fire,2021-06-06T15:20:52Z,Madera,50.0,0.0,0.0,0.0,0.0,65.45,34.55,20210608.0,Madera County
50,50,Intanko Fire,2021-06-08T13:59:00Z,Yuba,939.0,0.0,0.0,0.0,0.0,31.66,68.34,20210608.0,Yuba County
